HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457290.82886,2015-09-25.3266484,bb,2.37,14.899,11.891,0.016,67.255,0.955,V
2457294.80524,2015-09-29.3032077,bb,1.68,14.848,11.960,0.016,63.133,0.950,V
2457294.80649,2015-09-29.3044609,bb,1.65,14.715,11.959,0.019,63.140,1.086,V
2457294.80773,2015-09-29.3057043,bb,1.95,14.368,11.967,0.025,62.650,1.420,V
2457296.84800,2015-10-01.3460707,bb,2.02,15.479,11.919,0.010,65.522,0.616,V
2457296.84925,2015-10-01.3473226,bb,2.01,15.505,11.932,0.010,64.765,0.584,V
2457296.85049,2015-10-01.3485636,bb,2.02,15.439,11.922,0.011,65.379,0.638,V
2457297.75770,2015-10-02.2558229,bb,2.04,15.595,11.923,0.009,65.228,0.578,V
2457297.75896,2015-10-02.2570804,bb,2.01,15.604,11.926,0.010,65.086,0.585,V
2457297.76021,2015-10-02.2583266,bb,2.02,15.558,11.981,0.010,61.869,0.580,V
2457303.81855,2015-10-08.3169826,bb,2.16,15.517,11.918,0.010,65.535,0.606,V
2457303.81980,2015-10-08.3182380,bb,2.16,15.544,11.923,0.010,65.246,0.606,V
2457303.82106,2015-10-08.3194866,bb,2.18,15.501,11.919,0.010,65.504,0.617,V
2457304.76880,2015-10-09.2672842,bb,2.02,15.632,11.965,0.009,62.837,0.562,V
2457304.77006,2015-10-09.2685424,bb,2.00,15.638,11.938,0.010,64.350,0.573,V
2457304.77130,2015-10-09.2697835,bb,1.99,15.618,11.927,0.009,65.033,0.554,V
2457309.80383,2015-10-14.3025879,bb,2.00,15.648,11.941,0.009,64.195,0.563,V
2457309.80508,2015-10-14.3038390,bb,1.97,15.614,11.938,0.009,64.384,0.572,V
2457309.80634,2015-10-14.3050979,bb,1.99,15.603,11.975,0.010,62.204,0.558,V
2457314.77208,2015-10-19.2711287,bb,1.68,15.392,11.927,0.011,65.041,0.650,V
2457314.77300,2015-10-19.2720437,bb,1.63,15.379,11.925,0.011,65.150,0.684,V
2457314.77390,2015-10-19.2729482,bb,1.63,15.353,11.950,0.011,63.674,0.645,V
2457318.76463,2015-10-23.2639072,bb,2.00,15.438,11.925,0.011,65.132,0.654,V
2457318.76587,2015-10-23.2651497,bb,2.00,15.450,11.917,0.010,65.622,0.636,V
2457318.76713,2015-10-23.2664021,bb,1.99,15.469,11.943,0.010,64.104,0.624,V
2457321.76700,2015-10-26.2664487,bb,2.05,15.375,11.951,0.011,63.652,0.661,V
2457321.76825,2015-10-26.2677065,bb,2.05,15.346,11.945,0.012,63.963,0.679,V
2457321.76950,2015-10-26.2689552,bb,2.06,15.359,11.968,0.012,62.636,0.657,V
2457325.74215,2015-10-30.2418401,bb,1.67,14.498,11.991,0.023,61.303,1.271,V
2457325.74340,2015-10-30.2430938,bb,1.63,14.330,11.954,0.025,63.472,1.492,V
2457325.74466,2015-10-30.2443473,bb,1.62,15.241,11.955,0.014,63.334,0.789,V
2457327.72990,2015-11-01.2297060,bb,1.98,15.568,11.937,0.010,64.401,0.599,V
2457327.73115,2015-11-01.2309608,bb,1.97,15.604,11.929,0.010,64.904,0.590,V
2457327.73239,2015-11-01.2322024,bb,1.99,15.651,11.947,0.009,63.869,0.560,V
2457332.74933,2015-11-06.2494415,bb,2.06,15.599,11.961,0.011,63.013,0.593,V
2457332.75059,2015-11-06.2506994,bb,2.09,15.536,11.946,0.010,63.907,0.604,V
2457332.75184,2015-11-06.2519523,bb,2.10,15.539,11.927,0.011,65.011,0.621,V
2457449.15485,2016-03-01.6578297,bb,2.01,15.330,11.925,0.012,65.111,0.674,V
2457449.15610,2016-03-01.6590807,bb,2.03,15.460,11.933,0.010,64.688,0.608,V
2457449.15736,2016-03-01.6603399,bb,2.00,15.298,11.941,0.012,64.202,0.712,V
2457453.13684,2016-03-05.6396990,bb,1.97,15.537,11.934,0.010,64.603,0.566,V
2457453.13810,2016-03-05.6409517,bb,1.97,15.558,11.955,0.010,63.337,0.593,V
2457453.13935,2016-03-05.6422065,bb,1.97,15.613,11.955,0.009,63.361,0.564,V
2457459.13466,2016-03-11.6373057,bb,2.08,15.555,11.946,0.010,63.922,0.574,V
2457459.13591,2016-03-11.6385598,bb,2.07,15.594,11.931,0.009,64.830,0.569,V
2457459.13717,2016-03-11.6398084,bb,2.08,15.586,11.951,0.010,63.586,0.564,V
2457459.16139,2016-03-11.6640322,bb,2.14,14.530,11.966,0.022,62.733,1.237,V
2457463.12707,2016-03-15.6295609,bb,2.09,15.645,11.962,0.010,62.995,0.577,V
2457463.12833,2016-03-15.6308150,bb,2.11,15.546,11.984,0.010,61.728,0.585,V
2457463.12958,2016-03-15.6320701,bb,2.13,15.542,11.938,0.010,64.361,0.578,V
2457470.10625,2016-03-22.6084390,bb,2.13,15.115,11.941,0.013,64.205,0.773,V
2457470.10750,2016-03-22.6096810,bb,2.14,15.182,11.931,0.013,64.804,0.742,V
2457475.09235,2016-03-27.5943050,bb,2.14,15.408,11.960,0.010,63.131,0.606,V
2457475.09361,2016-03-27.5955559,bb,2.16,15.405,11.966,0.011,62.728,0.634,V
2457475.09486,2016-03-27.5968085,bb,2.16,15.373,11.963,0.011,62.868,0.659,V
2457481.10923,2016-04-02.6108826,bb,2.01,15.547,11.928,0.010,64.975,0.577,V
2457481.11048,2016-04-02.6121324,bb,2.01,15.551,11.967,0.010,62.663,0.578,V
2457483.09853,2016-04-04.6000756,bb,2.08,15.500,11.947,0.010,63.885,0.598,V
2457483.09978,2016-04-04.6013271,bb,2.08,15.559,11.969,0.010,62.540,0.563,V
2457483.10105,2016-04-04.6025906,bb,2.10,15.521,11.940,0.010,64.247,0.574,V
2457489.10510,2016-04-10.6063148,bb,2.01,15.575,11.944,0.010,63.991,0.573,V
2457489.10634,2016-04-10.6075560,bb,2.03,15.639,11.995,0.010,61.074,0.528,V
2457489.10759,2016-04-10.6088109,bb,2.02,15.577,11.939,0.010,64.323,0.572,V
2457499.03512,2016-04-20.5357784,bb,2.06,15.298,11.919,0.011,65.529,0.671,V
2457499.03638,2016-04-20.5370372,bb,2.05,15.335,11.976,0.012,62.128,0.668,V
2457499.03762,2016-04-20.5382770,bb,2.05,15.269,11.983,0.013,61.789,0.706,V
2457504.04459,2016-04-25.5449557,bb,2.02,15.456,11.961,0.011,63.007,0.595,V
2457504.04583,2016-04-25.5462006,bb,2.01,15.362,11.995,0.012,61.036,0.650,V
2457504.04709,2016-04-25.5474534,bb,2.00,15.456,11.981,0.011,61.847,0.598,V
2457509.06931,2016-04-30.5693726,bb,1.98,15.529,12.035,0.011,58.880,0.583,V
2457509.07055,2016-04-30.5706210,bb,1.64,15.560,12.046,0.011,58.261,0.557,V
2457509.07181,2016-04-30.5718770,bb,1.98,15.528,12.041,0.011,58.536,0.558,V
2457513.06556,2016-05-04.5653982,bb,1.98,15.623,11.989,0.010,61.422,0.545,V
2457513.06682,2016-05-04.5666547,bb,1.99,15.620,11.987,0.010,61.492,0.533,V
2457513.06808,2016-05-04.5679170,bb,1.99,15.560,11.959,0.010,63.139,0.575,V
2457526.95176,2016-05-18.4507908,bb,2.06,15.379,11.919,0.011,65.505,0.639,V
2457526.95302,2016-05-18.4520451,bb,2.11,15.246,11.918,0.012,65.539,0.711,V
