HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457341.94698,2015-11-15.4418270,bb,2.17,16.561,15.011,0.052,3.796,0.183,V
2457341.94789,2015-11-15.4427342,bb,2.19,16.576,15.008,0.052,3.810,0.180,V
2457344.94024,2015-11-18.4349813,bb,1.73,16.553,15.084,0.056,3.551,0.184,V
2457344.94116,2015-11-18.4358995,bb,1.74,16.603,15.057,0.053,3.639,0.176,V
2457344.94207,2015-11-18.4368127,bb,1.71,16.507,15.063,0.058,3.621,0.192,V
2457357.97273,2015-12-01.4671741,bb,1.71,16.649,15.022,0.049,3.757,0.168,V
2457357.97398,2015-12-01.4684267,bb,1.74,16.658,14.940,0.045,4.052,0.167,V
2457357.97524,2015-12-01.4696803,bb,1.82,16.643,15.091,0.052,3.529,0.169,V
2457358.85928,2015-12-02.3537164,bb,1.67,16.803,14.953,0.040,4.003,0.146,V
2457358.86054,2015-12-02.3549776,bb,1.65,16.796,15.040,0.043,3.698,0.147,V
2457358.86180,2015-12-02.3562328,bb,1.72,16.832,14.909,0.037,4.171,0.142,V
2457363.02275,2015-12-06.5171557,bb,1.74,16.742,14.983,0.043,3.895,0.154,V
2457363.02399,2015-12-06.5184046,bb,1.74,16.781,14.978,0.042,3.913,0.149,V
2457363.02526,2015-12-06.5196697,bb,1.75,16.863,15.021,0.040,3.762,0.138,V
2457363.93196,2015-12-07.4263733,bb,1.84,16.842,15.035,0.041,3.715,0.141,V
2457363.93321,2015-12-07.4276123,bb,1.74,16.886,14.945,0.037,4.034,0.135,V
2457363.93446,2015-12-07.4288648,bb,1.77,16.814,15.009,0.041,3.805,0.145,V
2457366.87562,2015-12-10.3700273,bb,2.02,16.806,14.928,0.039,4.098,0.146,V
2457366.87688,2015-12-10.3712909,bb,1.86,16.753,15.050,0.046,3.662,0.153,V
2457366.87813,2015-12-10.3725412,bb,1.82,16.819,14.972,0.040,3.937,0.144,V
2457369.87246,2015-12-13.3668894,bb,1.68,16.840,14.964,0.039,3.966,0.141,V
2457369.87372,2015-12-13.3681540,bb,1.67,16.921,14.946,0.035,4.035,0.131,V
2457369.87501,2015-12-13.3694418,bb,1.66,16.947,15.054,0.038,3.649,0.128,V
2457375.01427,2015-12-18.5087653,bb,2.03,16.744,15.002,0.044,3.830,0.154,V
2457375.01551,2015-12-18.5100064,bb,2.08,16.676,14.971,0.045,3.942,0.164,V
2457375.01676,2015-12-18.5112599,bb,2.02,16.746,15.060,0.046,3.631,0.154,V
2457382.85398,2015-12-26.3486642,bb,1.97,15.959,14.946,0.086,4.029,0.318,V
2457382.85523,2015-12-26.3499195,bb,1.91,15.995,14.939,0.083,4.058,0.307,V
2457382.85648,2015-12-26.3511707,bb,1.80,16.096,15.047,0.083,3.674,0.280,V
2457383.72725,2015-12-27.2219637,bb,2.03,16.651,14.963,0.046,3.968,0.168,V
2457383.72870,2015-12-27.2234164,bb,2.50,16.560,14.910,0.048,4.168,0.183,V
2457383.72995,2015-12-27.2246671,bb,2.11,16.707,14.942,0.043,4.045,0.160,V
2457387.94275,2015-12-31.4376121,bb,1.72,16.649,14.967,0.046,3.954,0.168,V
2457387.94400,2015-12-31.4388690,bb,1.75,16.574,15.072,0.055,3.589,0.180,V
2457387.94525,2015-12-31.4401200,bb,1.73,16.665,15.000,0.047,3.835,0.166,V
2457388.91674,2016-01-01.4116488,bb,1.72,16.890,15.055,0.040,3.648,0.135,V
2457388.91800,2016-01-01.4129037,bb,1.72,16.728,15.023,0.045,3.755,0.156,V
2457388.91924,2016-01-01.4141435,bb,1.72,16.799,15.000,0.042,3.836,0.147,V
2457390.86979,2016-01-03.3647818,bb,1.68,16.805,15.074,0.044,3.585,0.146,V
2457390.87104,2016-01-03.3660240,bb,1.72,16.913,14.989,0.037,3.875,0.132,V
2457390.87228,2016-01-03.3672730,bb,1.83,16.994,15.013,0.035,3.792,0.123,V
2457392.89915,2016-01-05.3942327,bb,2.01,16.900,15.064,0.040,3.615,0.134,V
2457392.90041,2016-01-05.3954979,bb,2.03,16.767,14.999,0.043,3.839,0.151,V
2457392.90168,2016-01-05.3967618,bb,2.05,16.747,14.513,0.028,6.006,0.155,V
2457398.81577,2016-01-11.3111533,bb,1.79,16.909,15.011,0.038,3.798,0.133,V
2457398.81703,2016-01-11.3124166,bb,1.75,16.876,14.999,0.039,3.839,0.137,V
2457398.81828,2016-01-11.3136648,bb,1.79,16.858,15.023,0.040,3.757,0.139,V
2457402.89903,2016-01-15.3946592,bb,1.97,16.994,16.067,0.093,1.436,0.122,V
2457402.90029,2016-01-15.3959171,bb,1.77,17.070,15.948,0.078,1.602,0.114,V
2457402.90156,2016-01-15.3971907,bb,2.01,17.090,15.988,0.079,1.545,0.112,V
2457405.83366,2016-01-18.3294664,bb,1.80,16.496,15.029,0.057,3.735,0.194,V
2457405.83491,2016-01-18.3307202,bb,1.69,16.391,14.825,0.052,4.507,0.214,V
2457405.83616,2016-01-18.3319741,bb,1.67,16.533,15.091,0.058,3.530,0.187,V
2457410.81123,2016-01-23.3073832,bb,1.79,16.049,15.049,0.087,3.667,0.292,V
2457410.81247,2016-01-23.3086266,bb,1.83,16.033,14.940,0.080,4.055,0.297,V
