###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57490.261860  13.051  0.003 21851   59 c  0  44.57 107.71417   2.46099  6013.93  4877.86 4.07 3.89 -45.1 -0.480 18.88 20.43 02a57490o0181c
57490.279973  13.088  0.003 21126   61 c  0  29.19 107.71417   2.46099  7178.68  4303.56 4.08 3.89 -16.5 -0.441 18.86 20.41 02a57490o0216c
57490.297758  13.086  0.003 21172   57 c  0  36.88 107.71417   2.46099  7409.45  4403.63 3.93 3.66  81.4 -0.442 18.96 20.44 02a57490o0250c
57491.244866  13.067  0.003 21539   63 c  0  12.30 107.71417   2.46099  6708.77  5481.24 4.36 4.02  87.9 -0.457 18.68 20.04 02a57491o0065c
57491.258489  13.065  0.003 21580   62 c  0  20.58 107.71417   2.46099  6423.03  4900.23 4.04 3.80 -88.0 -0.476 18.75 20.04 02a57491o0092c
57491.276637  13.083  0.003 21228   59 c  0  14.85 107.71417   2.46099  7587.59  4326.92 4.35 4.17  67.6 -0.411 18.66 20.02 02a57491o0127c
57491.294242  13.093  0.003 21026   61 c  0   9.56 107.71417   2.46099  7414.41  4405.31 4.48 4.41  79.0 -0.389 18.55 19.93 02a57491o0161c
57493.231512  13.160  0.005 19772   92 o  0  21.14 107.71417   2.46099  6480.28  5387.28 3.78 2.94  88.7 -0.556 18.07 18.72 02a57493o0044o
57493.244009  13.147  0.004 20010   76 o  0  45.67 107.71417   2.46099  6185.36  4803.93 3.75 3.01 -88.7 -0.522 18.49 19.53 02a57493o0068o
57493.257347  13.153  0.004 19906   73 o  0  26.57 107.71417   2.46099  7351.68  4229.00 3.94 3.30  89.2 -0.547 18.45 19.49 02a57493o0094o
57493.274467  13.158  0.004 19810   72 o  0  31.62 107.71417   2.46099  7404.86  4405.41 3.82 3.21  88.1 -0.542 18.46 19.46 02a57493o0128o
57494.242682  13.148  0.004 19984   83 o  0  33.59 107.71417   2.46099  6797.35  5286.24 3.76 2.87  88.8 -0.540 18.37 19.34 02a57494o0061o
57494.255362  13.138  0.004 20184   76 o  0  34.04 107.71417   2.46099  6776.71  5246.78 3.91 3.01 -89.8 -0.547 18.42 19.41 02a57494o0085o
57494.269772  13.166  0.004 19660   77 o  0  33.52 107.71417   2.46099  6831.99  5323.90 3.76 2.91 -89.2 -0.549 18.43 19.37 02a57494o0114o
57494.284279  13.149  0.004 19979   80 o  0  27.19 107.71417   2.46099  6845.61  5208.52 3.82 3.09 -89.3 -0.564 18.18 19.02 02a57494o0143o
57497.273356  13.163  0.003 19709   69 o  0  14.53 107.71417   2.46099  6851.68  5207.83 4.23 3.81  78.8 -0.493 18.34 19.44 02a57497o0034o
57499.256623  13.219  0.004 18721   75 o  0  19.04 107.71417   2.46099  6766.84  5244.24 4.00 3.42 -89.7 -0.561 18.26 19.21 02a57499o0078o
57499.271095  13.187  0.004 19278   81 o  0  16.67 107.71417   2.46099  6823.18  5320.69 3.95 3.38 -87.8 -0.555 18.21 19.13 02a57499o0103o
57499.286581  13.163  0.004 19716   79 o  0  23.07 107.71417   2.46099  6837.58  5204.10 3.83 3.24  89.6 -0.554 18.18 19.00 02a57499o0133o
57505.244468  13.147  0.003 20000   64 o  0  50.07 107.71417   2.46099  6795.96  5285.84 3.75 3.17  88.5 -0.515 18.79 20.14 02a57505o0057o
57505.268653  13.162  0.003 19732   62 o  0  54.55 107.71417   2.46099  6775.00  5225.72 3.82 3.40 -89.6 -0.494 18.79 20.21 02a57505o0097o
57505.284169  13.172  0.003 19547   63 o  0  34.97 107.71417   2.46099  6850.18  5302.64 3.88 3.49  89.5 -0.495 18.75 20.21 02a57505o0123o
57505.299378  13.167  0.003 19648   62 o  0  50.48 107.71417   2.46099  6749.97  5321.00 3.84 3.45  89.3 -0.485 18.70 20.11 02a57505o0153o
57507.256054  13.059  0.003 21691   57 c  0  86.82 107.71417   2.46099  6796.29  5286.72 3.89 3.56  87.7 -0.477 19.20 20.97 02a57507o0078c
57507.269750  13.070  0.003 21472   58 c  0  71.48 107.71417   2.46099  6833.41  5246.82 3.92 3.57  87.3 -0.462 19.18 20.98 02a57507o0101c
57507.285786  13.065  0.003 21584   58 c  0  41.26 107.71417   2.46099  6773.00  5226.04 3.96 3.79  86.2 -0.458 19.09 20.91 02a57507o0133c
57509.251087  13.075  0.003 21387   55 c  0  83.95 107.71417   2.46099  6792.45  5285.76 3.95 3.61  86.6 -0.466 19.16 20.92 02a57509o0080c
57509.263694  13.072  0.003 21445   57 c  0  63.93 107.71417   2.46099  6830.11  5246.02 3.89 3.51  87.2 -0.466 19.17 20.94 02a57509o0105c
57509.279594  13.075  0.003 21387   58 c  0  57.37 107.71417   2.46099  6772.37  5224.75 3.88 3.59  87.2 -0.463 19.10 20.84 02a57509o0137c
57511.245140  13.058  0.003 21714   62 c  0  27.67 107.71417   2.46099  8656.83  5469.97 4.20 3.53  81.7 -0.493 18.93 20.49 02a57511o0070c
57511.253060  13.052  0.003 21830   57 c  0  56.20 107.71417   2.46099  8637.33  5430.82 4.25 3.54  83.3 -0.490 19.11 20.85 02a57511o0086c
57511.263764  13.057  0.003 21734   60 c  0  62.86 107.71417   2.46099  8694.23  5507.35 4.18 3.43  82.7 -0.487 19.12 20.87 02a57511o0107c
57511.275795  13.063  0.003 21612   60 c  0  44.41 107.71417   2.46099  8712.36  5391.14 4.28 3.62  82.1 -0.472 19.03 20.79 02a57511o0131c
57650.613589  13.182  0.003 19377   64 o  0  19.35 107.71417   2.46099  5026.54  5772.54 3.95 3.50   0.3 -0.422 18.44 19.47 02a57650o0734o
57650.623953  13.171  0.003 19570   66 o  0  39.98 107.71417   2.46099  5046.47  5813.72 3.39 3.27 -76.3 -0.471 18.38 19.18 02a57650o0754o
57670.634215  13.164  0.003 19692   54 o  0  90.22 107.71417   2.46099  5652.21  3385.92 3.51 3.30 -69.3 -0.463 19.09 20.54 02a57670o0817o
57670.648366  13.180  0.005 19405   95 o  0   6.52 107.71417   2.46099  5670.95  3426.61 3.48 3.29 -69.4 -0.455 17.80 17.97 02a57670o0843o
