MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135054019982,14.179,0.054,180.22353,34.81391,54806.42157,0
1135054019982,14.134,0.054,180.22353,34.81397,54806.42764,0
1135054019982,14.100,0.054,180.22344,34.81382,54806.43364,0
1135054019982,14.207,0.060,180.22359,34.81397,54497.33471,0
1135054019982,14.288,0.057,180.22360,34.81394,54497.34018,0
1135054019982,14.227,0.056,180.22361,34.81401,54497.34564,0
1135054019982,14.286,0.062,180.22357,34.81396,54497.35111,0
1135054019982,14.207,0.054,180.22363,34.81392,54506.34737,0
1135054019982,14.211,0.054,180.22345,34.81406,54506.35476,0
1135054019982,14.281,0.054,180.22367,34.81395,54506.36213,0
1135054019982,14.282,0.054,180.22366,34.81392,54506.36955,0
1135054019982,14.235,0.055,180.22357,34.81392,54514.29170,0
1135054019982,14.195,0.055,180.22361,34.81399,54514.29768,0
1135054019982,14.189,0.055,180.22363,34.81388,54514.30367,0
1135054019982,14.220,0.054,180.22368,34.81406,54514.30966,0
1135054019982,14.267,0.055,180.22361,34.81392,54480.32303,0
1135054019982,14.259,0.054,180.22358,34.81388,54480.33134,0
1135054019982,14.159,0.054,180.22356,34.81390,54480.33964,0
1135054019982,14.320,0.055,180.22354,34.81393,54626.23522,0
1135054019982,14.285,0.055,180.22352,34.81395,54626.24252,0
1135054019982,14.281,0.055,180.22355,34.81391,54626.24991,0
1135054019982,14.175,0.055,180.22350,34.81382,54626.25726,0
1135054019982,14.295,0.055,180.22352,34.81390,54640.20592,0
1135054019982,14.173,0.055,180.22340,34.81392,54640.21245,0
1135054019982,14.218,0.055,180.22340,34.81388,54640.21899,0
1135054019982,14.228,0.055,180.22353,34.81405,54640.22556,0
1135054019982,14.313,0.055,180.22352,34.81402,54527.29045,0
1135054019982,14.269,0.054,180.22359,34.81391,54527.29705,0
1135054019982,14.252,0.054,180.22362,34.81391,54527.30363,0
1135054019982,14.238,0.054,180.22361,34.81402,54527.31019,0
1135054019982,14.230,0.055,180.22365,34.81396,54532.50244,0
