Gaia23bao
#Date,JD(TCB),averagemag
2021-06-07 21:18:46,2459373.38803,untrusted
2021-07-13 07:02:14,2459408.79322,null
2021-07-13 08:48:22,2459408.86692,untrusted
2021-08-02 14:50:23,2459429.11832,20.25
2021-08-02 19:04:04,2459429.29449,19.90
2021-09-19 05:39:08,2459476.73551,20.08
2021-09-19 11:39:22,2459476.98567,19.98
2021-09-19 13:25:57,2459477.05969,20.16
2021-09-19 17:39:37,2459477.23584,20.03
2021-09-19 19:26:11,2459477.30985,untrusted
2021-09-19 23:40:06,2459477.48618,null
2021-09-20 01:26:25,2459477.56001,19.93
2021-09-20 05:40:05,2459477.73617,19.82
2021-09-20 07:26:39,2459477.81017,19.93
2021-09-20 11:40:19,2459477.98633,19.99
2021-09-20 13:26:53,2459478.06034,19.98
2021-09-20 17:41:01,2459478.23682,null
2021-09-20 19:27:07,2459478.31050,19.92
2021-09-20 23:40:56,2459478.48676,null
2021-09-21 01:27:41,2459478.56089,null
2021-09-21 05:41:26,2459478.73711,null
2021-09-21 07:27:36,2459478.81083,null
2021-09-21 11:41:15,2459478.98698,20.15
2021-09-21 13:27:50,2459479.06100,20.56
2021-09-21 17:41:30,2459479.23715,20.23
2021-09-21 19:28:04,2459479.31116,20.26
2021-09-21 23:41:44,2459479.48731,20.29
2021-09-22 01:28:18,2459479.56132,20.11
2021-09-22 05:42:16,2459479.73769,null
2021-11-07 23:55:49,2459526.49709,19.55
2021-11-26 04:08:53,2459544.67284,19.76
2021-11-26 05:55:27,2459544.74684,20.06
2021-12-30 05:11:46,2459578.71650,null
2022-02-04 20:55:32,2459615.37190,20.22
2022-02-04 22:42:06,2459615.44590,20.12
2022-02-05 02:55:56,2459615.62218,null
2022-02-23 15:03:48,2459634.12764,20.17
2022-02-23 21:04:02,2459634.37780,20.31
2022-02-23 22:50:36,2459634.45181,20.11
2022-04-22 04:39:28,2459691.69407,18.29
2022-04-22 08:53:09,2459691.87024,18.41
2022-04-22 10:39:43,2459691.94425,untrusted
2022-05-15 03:01:41,2459714.62617,20.54
2022-05-15 04:48:15,2459714.70017,20.70
2022-06-19 16:28:56,2459750.18676,20.70
2022-07-27 14:00:13,2459788.08348,null
2022-07-27 15:46:36,2459788.15736,19.69
2022-08-13 08:05:47,2459804.83735,20.06
2022-08-13 09:52:21,2459804.91135,20.02
2022-09-30 06:32:07,2459852.77230,19.98
2022-09-30 08:18:41,2459852.84631,20.15
2022-09-30 12:32:21,2459853.02247,20.20
2022-09-30 14:18:55,2459853.09647,untrusted
2022-09-30 18:32:35,2459853.27263,20.19
2022-09-30 20:19:09,2459853.34663,20.22
2022-10-01 02:19:23,2459853.59679,20.24
2022-10-04 02:22:01,2459856.59862,20.52
2022-10-04 06:35:40,2459856.77477,20.01
2022-10-04 08:22:15,2459856.84878,untrusted
2022-10-04 12:35:54,2459857.02493,20.14
2022-10-04 14:22:29,2459857.09895,untrusted
2022-12-09 18:50:48,2459923.28528,19.94
2023-01-10 10:33:01,2459954.93959,20.54
2023-01-10 12:20:05,2459955.01395,null
2023-02-22 11:51:25,2459997.99404,null
2023-02-22 16:04:48,2459998.17000,20.12
2023-02-22 17:51:22,2459998.24400,20.25
2023-02-22 22:05:02,2459998.42016,19.94
2023-02-22 23:51:48,2459998.49431,null
2023-03-07 04:14:12,2460010.67653,17.10
2023-03-07 10:14:25,2460010.92668,17.24
2023-03-07 12:00:59,2460011.00068,17.19
2023-03-07 16:14:39,2460011.17684,17.29
2023-03-07 18:01:13,2460011.25084,17.20
2023-03-07 22:14:53,2460011.42700,17.31
2023-03-08 00:01:27,2460011.50101,17.19
2023-05-04 05:51:30,2460068.74410,null
2023-05-04 10:04:51,2460068.92003,20.72
2023-05-30 22:06:12,2460095.42097,null
2023-05-30 23:52:57,2460095.49510,null
2023-07-01 09:51:44,2460126.91093,untrusted
2023-08-10 20:57:38,2460167.37336,20.59
2023-08-10 22:44:13,2460167.44737,20.59
2023-08-23 16:51:23,2460180.20235,20.16
2023-08-23 21:05:33,2460180.37885,null
2023-10-10 07:25:01,2460227.80904,20.00
2023-10-10 09:11:35,2460227.88304,20.16
2023-10-10 13:25:14,2460228.05919,20.08
2023-10-10 15:11:48,2460228.13319,20.06
2023-10-17 19:30:34,2460235.31289,untrusted
2023-10-17 21:17:08,2460235.38690,20.60
2023-10-18 01:30:53,2460235.56311,null
2023-12-23 13:47:05,2460302.07436,20.48

