HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457300.85574,2015-10-05.3526431,bc,1.41,16.114,14.376,0.044,6.813,0.277,V
2457300.85703,2015-10-05.3539263,bc,1.43,16.190,14.264,0.037,7.560,0.258,V
2457305.04176,2015-10-09.5384971,bc,1.43,16.128,14.062,0.033,9.099,0.275,V
2457305.04302,2015-10-09.5397502,bc,1.50,16.174,14.062,0.031,9.103,0.263,V
2457305.04426,2015-10-09.5410015,bc,1.51,16.263,14.111,0.030,8.702,0.243,V
2457308.92571,2015-10-13.4223135,bc,1.40,16.206,14.039,0.030,9.296,0.256,V
2457308.92697,2015-10-13.4235653,bc,1.40,16.262,14.052,0.029,9.190,0.244,V
2457308.92822,2015-10-13.4248241,bc,1.44,16.133,14.058,0.032,9.132,0.273,V
2457314.83671,2015-10-19.3331387,bc,1.37,15.498,13.960,0.053,10.002,0.486,V
2457314.83763,2015-10-19.3340532,bc,1.41,15.686,14.077,0.050,8.972,0.411,V
2457314.83853,2015-10-19.3349569,bc,1.39,15.477,14.049,0.059,9.211,0.496,V
2457315.79544,2015-10-20.2918434,bc,1.47,15.524,14.256,0.068,7.610,0.474,V
2457315.79670,2015-10-20.2931042,bc,1.56,15.438,14.124,0.065,8.600,0.513,V
2457315.79796,2015-10-20.2943599,bc,1.46,15.187,14.071,0.078,9.028,0.647,V
2457316.77404,2015-10-21.2704138,bc,1.49,15.778,14.055,0.045,9.161,0.377,V
2457316.77494,2015-10-21.2713194,bc,1.51,15.771,14.090,0.047,8.874,0.379,V
2457316.77585,2015-10-21.2722263,bc,1.49,15.790,14.141,0.048,8.463,0.373,V
2457319.82823,2015-10-24.3245341,bc,1.46,15.868,14.128,0.044,8.560,0.347,V
2457319.82949,2015-10-24.3257995,bc,1.46,15.825,14.059,0.043,9.122,0.362,V
2457319.83073,2015-10-24.3270431,bc,1.52,15.826,14.069,0.043,9.047,0.361,V
2457321.95051,2015-10-26.4467789,bc,1.43,15.531,14.208,0.065,7.959,0.472,V
2457321.95177,2015-10-26.4480305,bc,1.47,15.675,14.120,0.052,8.625,0.414,V
2457321.95302,2015-10-26.4492861,bc,1.52,15.619,14.068,0.053,9.051,0.436,V
2457324.95688,2015-10-29.4530989,bc,1.67,15.836,14.086,0.044,8.901,0.358,V
2457324.95813,2015-10-29.4543471,bc,1.69,15.756,14.091,0.047,8.865,0.385,V
2457327.78315,2015-11-01.2793289,bc,1.42,16.222,14.041,0.029,9.281,0.252,V
2457327.78441,2015-11-01.2805851,bc,1.43,16.320,14.097,0.028,8.813,0.231,V
2457327.78566,2015-11-01.2818319,bc,1.52,16.168,13.985,0.029,9.768,0.265,V
2457332.86217,2015-11-06.3582995,bc,1.44,16.163,14.072,0.032,9.020,0.266,V
2457332.86341,2015-11-06.3595402,bc,1.47,16.298,14.089,0.029,8.882,0.236,V
2457332.86465,2015-11-06.3607847,bc,1.45,16.241,14.079,0.030,8.964,0.248,V
2457342.83649,2015-11-16.3326206,bc,1.49,16.037,14.046,0.035,9.236,0.298,V
2457342.83740,2015-11-16.3335258,bc,1.49,16.011,14.081,0.037,8.944,0.305,V
2457342.83830,2015-11-16.3344315,bc,1.46,16.021,14.022,0.035,9.441,0.303,V
2457357.90276,2015-12-01.3991065,bc,1.52,15.978,14.054,0.037,9.170,0.314,V
2457357.90401,2015-12-01.4003622,bc,1.52,16.078,14.087,0.035,8.897,0.288,V
2457357.90527,2015-12-01.4016151,bc,1.51,16.128,14.050,0.032,9.204,0.275,V
2457358.82388,2015-12-02.3202543,bc,1.45,16.224,14.037,0.029,9.319,0.252,V
2457358.82515,2015-12-02.3215173,bc,1.39,16.289,14.013,0.027,9.515,0.238,V
2457358.82639,2015-12-02.3227623,bc,1.45,16.276,14.045,0.028,9.245,0.240,V
2457362.87653,2015-12-06.3730141,bc,1.50,16.225,14.028,0.029,9.398,0.252,V
2457362.87779,2015-12-06.3742646,bc,1.57,16.204,14.025,0.029,9.410,0.257,V
2457362.87905,2015-12-06.3755293,bc,1.48,16.243,14.048,0.030,9.223,0.249,V
2457366.78139,2015-12-10.2779935,bc,1.66,16.163,14.029,0.031,9.385,0.266,V
2457366.78265,2015-12-10.2792459,bc,1.66,16.187,14.112,0.032,8.688,0.260,V
2457366.78390,2015-12-10.2804959,bc,1.74,16.105,14.025,0.032,9.416,0.280,V
2457370.79280,2015-12-14.2895422,bc,1.39,16.118,14.112,0.034,8.688,0.276,V
2457370.79406,2015-12-14.2907978,bc,1.45,16.221,14.089,0.031,8.878,0.251,V
2457370.79531,2015-12-14.2920487,bc,1.45,16.255,14.051,0.030,9.191,0.246,V
2457377.84215,2015-12-21.3391724,bc,1.58,15.780,14.018,0.043,9.471,0.377,V
2457377.84340,2015-12-21.3404246,bc,1.57,15.765,13.962,0.042,9.977,0.382,V
2457384.81580,2015-12-28.3131478,bc,1.57,15.944,14.085,0.040,8.910,0.324,V
2457384.81705,2015-12-28.3144032,bc,1.54,15.839,14.112,0.045,8.688,0.357,V
2457384.81830,2015-12-28.3156538,bc,1.46,15.970,14.022,0.036,9.447,0.317,V
2457385.71717,2015-12-29.2145641,bc,2.26,16.014,14.028,0.035,9.395,0.303,V
2457385.71842,2015-12-29.2158141,bc,2.25,16.161,14.041,0.031,9.276,0.266,V
2457385.71967,2015-12-29.2170678,bc,2.21,15.983,14.101,0.039,8.778,0.312,V
2457389.81221,2016-01-02.3098282,bc,1.67,16.092,14.056,0.034,9.154,0.284,V
2457389.81346,2016-01-02.3110790,bc,1.61,16.201,14.061,0.030,9.114,0.258,V
2457389.81473,2016-01-02.3123468,bc,1.64,16.214,14.030,0.029,9.374,0.254,V
2457391.79181,2016-01-04.2895285,bc,1.51,16.195,14.019,0.029,9.473,0.259,V
2457391.79306,2016-01-04.2907805,bc,1.45,16.197,14.013,0.030,9.519,0.259,V
2457391.79430,2016-01-04.2920225,bc,1.45,16.188,14.022,0.030,9.449,0.261,V
2457395.78170,2016-01-08.2796464,bc,1.74,16.274,14.034,0.028,9.343,0.241,V
2457395.78294,2016-01-08.2808887,bc,1.75,16.083,14.039,0.033,9.292,0.286,V
2457395.78418,2016-01-08.2821259,bc,1.72,16.162,14.037,0.031,9.316,0.267,V
2457398.76746,2016-01-11.2655840,bc,1.51,16.251,13.991,0.027,9.711,0.247,V
2457398.76871,2016-01-11.2668365,bc,1.46,16.231,14.015,0.028,9.504,0.251,V
2457398.76996,2016-01-11.2680900,bc,1.63,16.166,14.007,0.030,9.573,0.266,V
2457403.74644,2016-01-16.2448756,bc,1.45,16.135,13.994,0.030,9.695,0.273,V
2457403.74769,2016-01-16.2461246,bc,1.46,16.108,14.090,0.034,8.869,0.280,V
2457403.74895,2016-01-16.2473780,bc,1.43,16.137,14.013,0.031,9.518,0.273,V
2457407.75217,2016-01-20.2508608,bc,1.50,15.869,14.014,0.040,9.515,0.348,V
2457407.75342,2016-01-20.2521111,bc,1.51,15.819,14.028,0.042,9.396,0.364,V
2457407.75468,2016-01-20.2533633,bc,1.48,15.769,13.963,0.042,9.969,0.381,V
2457410.70706,2016-01-23.2059383,bc,1.78,15.421,14.175,0.070,8.199,0.522,V
2457410.70832,2016-01-23.2071954,bc,1.84,15.343,13.967,0.062,9.939,0.561,V
2457410.71208,2016-01-23.2109621,bc,1.73,15.588,14.174,0.060,8.209,0.448,V
2457411.74022,2016-01-24.2391640,bc,1.51,15.850,14.141,0.045,8.465,0.353,V
2457411.74147,2016-01-24.2404153,bc,1.51,15.581,14.144,0.058,8.438,0.451,V
2457411.74272,2016-01-24.2416637,bc,1.48,15.612,14.142,0.057,8.451,0.439,V
2457413.73090,2016-01-26.2299784,bc,1.48,16.203,14.360,0.040,6.915,0.256,V
2457413.73215,2016-01-26.2312300,bc,1.49,16.256,14.286,0.036,7.405,0.244,V
2457413.73340,2016-01-26.2324825,bc,1.47,16.319,14.422,0.038,6.533,0.230,V
2457418.71741,2016-01-31.2168261,bc,1.69,16.088,14.077,0.034,8.977,0.285,V
2457418.71866,2016-01-31.218075,bc,1.72,16.021,14.052,0.036,9.187,0.303,V
2457418.71992,2016-01-31.2193314,bc,1.69,16.152,14.065,0.032,9.076,0.269,V
2457553.09683,2016-06-13.6001549,bc,1.49,16.221,14.132,0.032,8.536,0.253,V
2457553.09809,2016-06-13.6014189,bc,1.42,16.131,14.073,0.033,9.016,0.275,V
2457553.09934,2016-06-13.6026723,bc,1.45,16.241,14.018,0.028,9.480,0.249,V
2457561.08732,2016-06-21.5903274,bc,1.40,15.722,14.042,0.047,9.268,0.397,V
2457561.08857,2016-06-21.5915795,bc,1.51,15.667,14.079,0.051,8.953,0.418,V
2457561.08983,2016-06-21.5928364,bc,1.45,15.658,14.075,0.051,8.988,0.420,V
2457575.09637,2016-07-05.5986885,bc,1.51,16.275,14.133,0.030,8.531,0.240,V
2457575.09763,2016-07-05.5999549,bc,1.45,16.235,14.080,0.030,8.952,0.249,V
2457575.09889,2016-07-05.6012101,bc,1.44,16.206,14.015,0.029,9.499,0.256,V
2457584.04181,2016-07-14.5436256,bc,1.55,16.281,14.080,0.029,8.955,0.239,V
2457584.04308,2016-07-14.5448997,bc,1.54,16.229,14.044,0.029,9.253,0.251,V
