MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135022009722,13.487,0.054,72.34072,34.06656,54010.44750,0
1135022009722,13.474,0.054,72.34070,34.06657,54010.45303,0
1135022009722,13.467,0.055,72.34070,34.06656,54010.45855,0
1135022009722,13.477,0.054,72.34070,34.06656,54031.40913,0
1135022009722,13.475,0.054,72.34070,34.06656,54031.41364,0
1135022009722,13.470,0.054,72.34070,34.06656,54031.41820,0
1135022009722,13.477,0.054,72.34071,34.06656,54031.42266,0
1135022009722,13.809,0.055,72.34070,34.06657,54450.22391,0
1135022009722,13.855,0.055,72.34071,34.06657,54450.23047,0
1135022009722,13.883,0.056,72.34071,34.06655,54450.23696,0
1135022009722,13.905,0.056,72.34071,34.06657,54450.24347,0
1135022009722,13.456,0.055,72.34070,34.06656,54138.13583,0
1135022009722,13.488,0.055,72.34070,34.06655,54138.14074,0
1135022009722,13.470,0.055,72.34072,34.06657,54138.14568,0
1135022009722,13.483,0.055,72.34071,34.06656,54138.15060,0
1135022009722,13.485,0.053,72.34072,34.06654,54803.39466,0
1135022009722,13.476,0.053,72.34072,34.06656,54803.40034,0
1135022009722,13.471,0.053,72.34073,34.06657,54803.40602,0
1135022009722,13.477,0.053,72.34073,34.06654,54803.41174,0
1135022009722,13.470,0.055,72.34071,34.06655,54822.33902,0
1135022009722,13.477,0.055,72.34073,34.06656,54822.34490,0
1135022009722,13.475,0.055,72.34071,34.06656,54822.35084,0
1135022009722,13.489,0.055,72.34073,34.06655,54822.35669,0
1135022009722,13.453,0.054,72.34072,34.06655,54771.40244,0
1135022009722,13.445,0.054,72.34073,34.06656,54771.40987,0
1135022009722,13.452,0.054,72.34070,34.06657,54771.41726,0
1135022009722,13.453,0.054,72.34071,34.06657,54771.42465,0
1135022009722,13.467,0.054,72.34070,34.06657,54788.38295,0
1135022009722,13.465,0.054,72.34068,34.06656,54788.38904,0
1135022009722,13.470,0.054,72.34069,34.06655,54788.39516,0
1135022009722,13.468,0.054,72.34071,34.06657,54788.40112,0
1135022009722,13.475,0.054,72.34070,34.06655,54733.43477,0
1135022009722,13.480,0.054,72.34071,34.06657,54733.44384,0
1135022009722,13.479,0.054,72.34069,34.06655,54733.45283,0
1135022009722,13.495,0.054,72.34071,34.06655,54733.46192,0
1135022009722,13.471,0.054,72.34068,34.06659,55182.27190,0
1135022009722,13.468,0.054,72.34072,34.06660,55182.27701,0
1135022009722,13.474,0.054,72.34069,34.06659,55182.28217,0
1135022009722,13.466,0.054,72.34070,34.06658,55182.28734,0
1135022009722,13.468,0.054,72.34070,34.06657,54864.13629,0
1135022009722,13.456,0.054,72.34070,34.06655,54864.14117,0
1135022009722,13.461,0.054,72.34072,34.06657,54864.14620,0
1135022009722,13.457,0.054,72.34070,34.06655,54864.15119,0
1135022009722,13.459,0.056,72.34073,34.06653,55154.38952,0
1135022009722,13.449,0.056,72.34071,34.06654,55154.39636,0
1135022009722,13.453,0.056,72.34074,34.06657,55154.40326,0
1135022009722,13.437,0.056,72.34072,34.06658,55154.41007,0
1135022009722,13.487,0.054,72.34068,34.06652,55097.46555,0
1135022009722,13.493,0.054,72.34070,34.06658,55097.47098,0
1135022009722,13.490,0.054,72.34072,34.06653,55097.47649,0
1135022009722,13.485,0.054,72.34071,34.06656,55097.48198,0
1135022009722,13.430,0.054,72.34069,34.06656,55544.32723,0
1135022009722,13.431,0.054,72.34070,34.06656,55544.33986,0
1135022009722,13.432,0.054,72.34068,34.06657,55544.34622,0
1135022009722,13.436,0.054,72.34066,34.06659,55246.12183,0
1135022009722,13.439,0.054,72.34066,34.06660,55246.12758,0
1135022009722,13.447,0.054,72.34066,34.06658,55246.13335,0
1135022009722,13.432,0.054,72.34067,34.06660,55246.13908,0
1135022009722,13.497,0.054,72.34072,34.06659,55208.23660,0
1135022009722,13.473,0.054,72.34071,34.06660,55208.24416,0
1135022009722,13.475,0.054,72.34071,34.06658,55208.25177,0
1135022009722,13.470,0.054,72.34071,34.06661,55208.25932,0
1135022009722,13.476,0.054,72.34065,34.06657,55274.13131,0
1135022009722,13.461,0.054,72.34068,34.06656,55274.13591,0
1135022009722,13.467,0.054,72.34067,34.06660,55274.14044,0
1135022009722,13.475,0.054,72.34066,34.06657,55274.14501,0
1135022009722,13.460,0.056,72.34072,34.06657,55528.41585,0
1135022009722,13.464,0.056,72.34070,34.06659,55528.43051,0
1135022009722,13.463,0.056,72.34072,34.06658,55528.43759,0
1135022009722,13.675,0.055,72.34071,34.06657,55479.34134,0
1135022009722,13.600,0.055,72.34072,34.06659,55479.35177,0
1135022009722,13.593,0.055,72.34072,34.06659,55479.35694,0
