HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460058.86378,2023-04-24.3614494,bC,1.40,16.743,14.527,0.028,5.613,0.147,g
2460058.86505,2023-04-24.3627179,bC,1.47,16.731,14.465,0.027,5.943,0.148,g
2460059.85439,2023-04-25.3520261,bs,1.47,16.855,14.498,0.025,5.767,0.133,g
2460059.85562,2023-04-25.3532584,bs,1.54,16.829,14.436,0.024,6.106,0.136,g
2460059.85686,2023-04-25.3544969,bs,1.45,16.777,14.384,0.024,6.403,0.143,g
2460060.89062,2023-04-26.3882291,bs,1.47,16.854,14.449,0.024,6.029,0.134,g
2460060.89185,2023-04-26.3894590,bs,1.45,16.903,14.547,0.025,5.513,0.127,g
2460060.89308,2023-04-26.3906892,bs,1.47,16.846,14.423,0.023,6.181,0.135,g
2460062.79808,2023-04-28.2956359,bs,1.45,16.692,14.493,0.029,5.792,0.154,g
2460062.79931,2023-04-28.2968662,bs,1.47,16.727,14.485,0.028,5.835,0.149,g
2460062.80054,2023-04-28.2980947,bs,1.47,16.687,14.440,0.027,6.086,0.155,g
2460062.83556,2023-04-28.3331067,bs,1.50,16.798,14.480,0.026,5.858,0.140,g
2460062.83677,2023-04-28.3343225,bs,1.49,16.729,14.513,0.028,5.687,0.149,g
2460062.83801,2023-04-28.3355641,bs,1.43,16.781,14.445,0.025,6.052,0.143,g
2460064.70202,2023-04-30.1995281,bs,1.62,16.237,14.367,0.039,6.504,0.234,g
2460064.70328,2023-04-30.2007817,bs,1.68,16.234,14.440,0.042,6.081,0.235,g
2460064.70452,2023-04-30.2020234,bs,1.56,16.250,14.435,0.041,6.111,0.231,g
2460070.96380,2023-05-06.4611637,bC,1.43,15.848,14.490,0.063,5.808,0.333,g
2460070.96505,2023-05-06.4624185,bC,1.47,16.043,14.296,0.044,6.941,0.278,g
2460070.98633,2023-05-06.4836866,bC,1.48,15.937,14.397,0.053,6.325,0.307,g
2460070.98760,2023-05-06.4849553,bC,1.47,16.037,14.555,0.056,5.473,0.280,g
2460070.98884,2023-05-06.4861966,bC,1.50,16.166,14.402,0.043,6.298,0.249,g
2460073.83076,2023-05-09.3280652,bC,1.52,16.817,14.458,0.025,5.978,0.137,g
2460073.83202,2023-05-09.3293223,bC,1.55,16.782,14.430,0.025,6.134,0.142,g
2460073.83328,2023-05-09.3305875,bC,1.48,16.804,14.499,0.026,5.758,0.139,g
2460077.08097,2023-05-12.5782157,bC,1.38,16.806,14.409,0.024,6.260,0.138,g
2460077.08223,2023-05-12.5794797,bC,1.42,16.885,14.427,0.023,6.155,0.129,g
2460077.08349,2023-05-12.5807346,bC,1.43,16.786,14.457,0.026,5.986,0.141,g
2460107.75779,2023-06-12.2549303,bC,2.39,16.557,14.444,0.031,6.059,0.174,g
2460107.75905,2023-06-12.2561922,bC,2.39,16.604,14.481,0.031,5.857,0.166,g
2460107.76031,2023-06-12.2574539,bC,2.25,16.644,14.439,0.029,6.083,0.160,g
2460107.83849,2023-06-12.3356399,bC,1.55,16.924,14.457,0.022,5.988,0.124,g
2460107.83977,2023-06-12.3369109,bC,1.61,16.903,14.463,0.023,5.955,0.127,g
2460107.84102,2023-06-12.3381621,bC,1.61,16.900,14.441,0.023,6.076,0.127,g
2460109.83530,2023-06-14.3324687,bC,1.48,16.947,14.495,0.023,5.779,0.122,g
2460109.83656,2023-06-14.3337116,bC,1.46,16.918,14.450,0.022,6.024,0.125,g
2460109.83781,2023-06-14.3349699,bC,1.47,16.945,14.462,0.022,5.956,0.122,g
2460112.01332,2023-06-16.5105109,bC,1.43,16.920,14.478,0.023,5.876,0.124,g
2460112.01460,2023-06-16.5117776,bC,1.40,16.969,14.488,0.022,5.814,0.119,g
2460112.01585,2023-06-16.5130381,bC,1.41,16.922,14.447,0.022,6.043,0.124,g
2460113.99927,2023-06-18.4964839,bC,1.42,16.917,14.460,0.023,5.966,0.125,g
2460114.00051,2023-06-18.4977305,bC,1.39,16.932,14.429,0.022,6.145,0.123,g
2460114.00178,2023-06-18.4989906,bC,1.42,16.906,14.430,0.022,6.135,0.126,g
2460117.77508,2023-06-22.2723561,bC,1.47,16.898,14.490,0.024,5.808,0.127,g
2460117.77634,2023-06-22.2736193,bC,1.45,16.872,14.441,0.023,6.075,0.130,g
2460117.77761,2023-06-22.2748807,bC,1.45,16.921,14.476,0.023,5.883,0.124,g
2460121.77577,2023-06-26.2731200,bC,1.54,16.811,14.461,0.025,5.966,0.138,g
2460121.77704,2023-06-26.2743815,bC,1.55,16.700,14.470,0.028,5.914,0.152,g
2460121.77829,2023-06-26.2756339,bC,1.57,16.813,14.467,0.025,5.931,0.137,g
2460124.83822,2023-06-29.3356380,bC,1.40,16.854,14.475,0.024,5.888,0.133,g
2460124.83949,2023-06-29.3368975,bC,1.42,16.615,14.437,0.029,6.101,0.165,g
2460124.84074,2023-06-29.3381487,bC,1.46,16.632,14.445,0.029,6.054,0.163,g
2460125.89066,2023-06-30.3880920,bs,1.53,16.391,14.552,0.040,5.486,0.203,g
2460125.89213,2023-06-30.3895699,bs,1.47,16.705,14.471,0.028,5.913,0.152,g
2460125.89364,2023-06-30.3910741,bs,1.52,16.422,14.464,0.036,5.950,0.197,g
2460126.86009,2023-07-01.3575491,bC,1.56,14.906,14.376,0.135,6.446,0.793,g
2460126.86136,2023-07-01.3588167,bC,1.59,15.746,14.337,0.060,6.684,0.367,g
2460126.86262,2023-07-01.3600773,bC,1.42,16.310,14.448,0.039,6.039,0.218,g
2460127.82883,2023-07-02.3263129,bs,1.47,15.701,14.515,0.073,5.679,0.382,g
2460127.83032,2023-07-02.3278010,bs,1.43,15.690,14.372,0.065,6.475,0.386,g
2460127.83183,2023-07-02.3293041,bs,1.51,15.902,14.421,0.056,6.190,0.318,g
2460127.88408,2023-07-02.3815655,bs,1.53,16.030,14.457,0.051,5.989,0.283,g
2460127.88560,2023-07-02.3830863,bs,1.50,16.009,14.399,0.050,6.317,0.289,g
2460127.88711,2023-07-02.3845922,bs,1.44,15.899,14.455,0.058,5.999,0.319,g
2460128.89124,2023-07-03.3887420,bC,1.50,16.248,14.510,0.044,5.699,0.231,g
2460128.89249,2023-07-03.3899991,bC,1.49,16.207,14.425,0.042,6.165,0.240,g
2460128.89377,2023-07-03.3912707,bC,1.52,16.262,14.412,0.040,6.242,0.228,g
2460128.92580,2023-07-03.4233089,bC,1.52,16.233,14.502,0.044,5.743,0.234,g
2460128.92707,2023-07-03.4245745,bC,1.53,16.135,14.402,0.044,6.303,0.256,g
2460128.92832,2023-07-03.4258256,bC,1.49,16.246,14.471,0.043,5.908,0.231,g
2460130.85128,2023-07-05.3488347,bs,1.40,16.289,14.543,0.044,5.532,0.223,g
2460130.85280,2023-07-05.3503531,bs,1.41,16.128,14.441,0.046,6.073,0.259,g
2460130.85428,2023-07-05.3518430,bs,1.49,16.176,14.498,0.047,5.765,0.248,g
2460131.93662,2023-07-06.4342072,bC,1.42,16.521,14.495,0.034,5.783,0.180,g
2460131.93788,2023-07-06.4354688,bC,1.41,16.551,14.457,0.032,5.985,0.175,g
2460131.93915,2023-07-06.4367293,bC,1.44,16.545,14.463,0.032,5.956,0.176,g
2460133.84920,2023-07-08.3468344,bC,1.42,17.147,14.911,0.028,3.943,0.101,g
