HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459539.83750,2021-11-21.3332594,bA,2.13,15.932,13.079,0.016,21.298,0.314,g
2459539.83877,2021-11-21.3345376,bA,2.14,15.831,13.017,0.016,22.565,0.344,g
2459540.80752,2021-11-22.3032789,bA,2.13,16.021,13.013,0.014,22.643,0.293,g
2459540.80877,2021-11-22.3045325,bA,2.13,15.893,13.073,0.016,21.424,0.326,g
2459540.81003,2021-11-22.3058013,bA,2.10,15.875,13.063,0.017,21.619,0.334,g
2459540.97345,2021-11-22.4692112,bA,2.08,15.949,13.042,0.015,22.052,0.313,g
2459540.97471,2021-11-22.4704766,bA,2.08,15.848,13.061,0.017,21.658,0.341,g
2459540.97597,2021-11-22.4717358,bA,2.08,15.850,13.036,0.016,22.146,0.339,g
2459541.87353,2021-11-23.3693008,br,1.68,13.381,13.022,0.158,22.435,3.232,g
2459541.87477,2021-11-23.3705415,br,2.29,13.343,>13.343,99.990,15.229,3.341,g
2459541.87601,2021-11-23.3717849,br,1.52,13.406,12.802,0.128,27.488,3.215,g
2459543.00402,2021-11-24.4997892,bB,2.23,16.155,13.003,0.013,22.845,0.271,g
2459543.00527,2021-11-24.5010473,bB,2.25,16.143,13.001,0.013,22.875,0.277,g
2459543.00652,2021-11-24.5022983,bB,2.23,16.180,13.001,0.013,22.888,0.268,g
2459543.97297,2021-11-25.4687604,bA,2.09,16.305,13.143,0.012,20.074,0.225,g
2459543.97424,2021-11-25.4700173,bA,2.14,16.228,13.134,0.013,20.249,0.239,g
2459543.97549,2021-11-25.4712753,bA,2.14,16.224,13.077,0.013,21.337,0.246,g
2459546.81542,2021-11-28.3112296,bA,2.24,16.404,13.069,0.010,21.499,0.207,g
2459546.81669,2021-11-28.3124914,bA,2.23,16.397,12.989,0.009,23.147,0.208,g
2459546.81794,2021-11-28.3137489,bA,2.22,16.388,13.039,0.010,22.100,0.210,g
2459546.93508,2021-11-28.4308883,bA,2.31,16.419,13.045,0.010,21.987,0.205,g
2459546.93634,2021-11-28.4321487,bA,2.29,16.413,13.015,0.010,22.599,0.208,g
2459546.93760,2021-11-28.4334162,bA,2.31,16.406,13.001,0.009,22.876,0.205,g
2459547.61465,2021-11-29.1104706,bq,1.45,16.131,13.032,0.013,22.251,0.266,g
2459547.61589,2021-11-29.1117122,bq,1.47,16.144,13.025,0.013,22.372,0.264,g
2459547.61713,2021-11-29.1129524,bq,1.56,16.129,13.068,0.013,21.517,0.263,g
2459547.89103,2021-11-29.38685,br,1.43,16.098,13.013,0.013,22.638,0.274,g
2459547.89227,2021-11-29.3880990,br,1.42,16.126,13.037,0.014,22.137,0.268,g
2459547.89354,2021-11-29.3893553,br,1.47,16.089,13.024,0.014,22.408,0.278,g
2459548.92069,2021-11-30.4165270,br,1.52,16.065,13.020,0.013,22.491,0.282,g
2459548.92193,2021-11-30.4177711,br,1.49,16.078,13.020,0.014,22.498,0.287,g
2459548.92317,2021-11-30.4190078,br,1.54,16.070,13.013,0.013,22.641,0.281,g
2459550.67639,2021-12-02.1722523,bq,1.51,16.141,13.021,0.013,22.482,0.265,g
2459550.67763,2021-12-02.1734930,bq,1.48,16.154,13.048,0.012,21.915,0.258,g
2459550.67886,2021-12-02.1747280,bq,1.48,16.101,12.974,0.012,23.457,0.271,g
2459550.85681,2021-12-02.3526743,br,1.41,16.146,13.022,0.013,22.455,0.263,g
2459550.85804,2021-12-02.3539128,br,1.45,16.173,13.040,0.013,22.069,0.257,g
2459550.85928,2021-12-02.3551476,br,1.41,16.167,13.006,0.013,22.791,0.260,g
2459552.83092,2021-12-04.3268228,br,1.40,16.105,13.003,0.013,22.832,0.273,g
2459552.83216,2021-12-04.3280679,br,1.39,16.168,13.011,0.013,22.659,0.260,g
2459552.83339,2021-12-04.3292956,br,1.35,16.175,13.032,0.013,22.248,0.259,g
2459552.87640,2021-12-04.3723094,bq,1.46,16.125,13.033,0.013,22.225,0.267,g
