HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459524.67748,2021-11-06.17695,br,1.40,15.382,11.166,0.006,124.098,0.703,g
2459525.65637,2021-11-07.1559197,br,1.45,15.415,11.187,0.005,121.732,0.628,g
2459525.65761,2021-11-07.1571592,br,1.46,15.414,11.181,0.006,122.397,0.673,g
2459525.65883,2021-11-07.1583885,br,1.36,15.408,11.184,0.006,122.085,0.684,g
2459529.26162,2021-11-10.7614747,bn,1.43,14.379,11.181,0.013,122.409,1.547,g
2459529.26286,2021-11-10.7627144,bn,1.50,14.741,11.175,0.009,123.115,1.024,g
2459529.26413,2021-11-10.7639831,bn,1.52,14.925,11.124,0.009,128.977,0.986,g
2459529.64387,2021-11-11.1437678,br,1.49,15.360,11.163,0.006,124.343,0.687,g
2459529.64511,2021-11-11.1450062,br,1.53,15.345,11.123,0.006,129.012,0.720,g
2459529.64635,2021-11-11.1462482,br,1.49,15.351,11.144,0.006,126.531,0.678,g
2459530.65721,2021-11-12.1571873,br,1.44,15.357,11.141,0.006,126.986,0.686,g
2459530.65845,2021-11-12.1584305,br,1.45,15.377,11.163,0.006,124.363,0.686,g
2459530.65969,2021-11-12.1596675,br,1.40,15.330,11.111,0.006,130.563,0.715,g
2459531.67362,2021-11-13.1736758,br,2.05,15.249,11.138,0.006,127.339,0.754,g
2459531.67485,2021-11-13.1749116,br,2.06,15.290,11.154,0.006,125.432,0.723,g
2459531.67609,2021-11-13.1761511,br,2.07,15.298,11.148,0.006,126.155,0.722,g
2459533.54076,2021-11-15.0409793,bF,1.51,15.110,11.167,0.007,123.991,0.827,g
2459533.54204,2021-11-15.0422682,bF,1.57,15.137,11.209,0.007,119.223,0.772,g
2459533.54334,2021-11-15.0435670,bF,1.55,15.121,11.195,0.007,120.808,0.775,g
2459535.62866,2021-11-17.1290607,br,1.46,15.295,11.185,0.007,121.979,0.725,g
2459535.62989,2021-11-17.1302934,br,1.41,15.285,11.126,0.007,128.776,0.768,g
2459535.63113,2021-11-17.1315303,br,1.47,15.300,11.185,0.007,121.959,0.739,g
2459535.71303,2021-11-17.2134383,bC,1.46,15.384,11.180,0.006,122.542,0.614,g
2459536.51021,2021-11-18.0106817,bF,2.23,14.967,11.162,0.008,124.465,0.911,g
2459536.51151,2021-11-18.0119746,bF,2.05,15.007,11.154,0.007,125.509,0.882,g
2459537.51329,2021-11-19.0138377,bj,2.34,14.896,11.173,0.008,123.269,0.935,g
2459537.51453,2021-11-19.0150796,bj,2.28,14.952,11.170,0.008,123.518,0.928,g
2459537.51577,2021-11-19.0163289,bj,2.30,14.917,11.170,0.008,123.605,0.932,g
2459538.63538,2021-11-20.1360304,br,1.42,15.235,11.173,0.007,123.270,0.768,g
2459538.63662,2021-11-20.1372744,br,1.51,15.241,11.170,0.007,123.640,0.800,g
2459538.63786,2021-11-20.1385101,br,1.46,15.191,11.156,0.007,125.270,0.801,g
2459539.61629,2021-11-21.1170287,br,1.42,15.259,11.165,0.007,124.141,0.783,g
2459539.61750,2021-11-21.1182305,br,1.39,15.154,11.155,0.007,125.309,0.820,g
2459539.61873,2021-11-21.1194616,br,1.41,15.193,11.182,0.006,122.327,0.766,g
2459541.72397,2021-11-23.2248700,bB,2.11,15.733,11.165,0.004,124.195,0.509,g
2459541.72523,2021-11-23.2261328,bB,2.12,15.747,11.181,0.005,122.275,0.561,g
2459541.72648,2021-11-23.2273920,bB,2.11,15.733,11.172,0.004,123.349,0.520,g
2459542.63627,2021-11-24.1372468,br,1.41,15.332,11.164,0.006,124.355,0.699,g
2459542.63750,2021-11-24.1384818,br,1.42,15.333,11.161,0.006,124.635,0.655,g
2459542.63875,2021-11-24.1397314,br,1.42,15.319,11.137,0.006,127.450,0.679,g
2459543.63293,2021-11-25.1340004,br,1.52,13.890,11.014,0.022,142.653,2.954,g
2459543.63419,2021-11-25.1352439,br,1.38,13.946,11.597,0.038,83.355,2.878,g
2459543.63543,2021-11-25.1364851,br,1.47,14.587,11.585,0.033,84.376,2.564,g
2459544.72151,2021-11-26.2226579,bB,2.20,15.725,11.178,0.005,122.729,0.545,g
2459544.72279,2021-11-26.2239342,bB,2.21,15.731,11.176,0.004,122.834,0.526,g
2459544.72404,2021-11-26.2251857,bB,2.20,15.727,11.180,0.004,122.429,0.490,g
2459563.56233,2021-12-15.0649385,br,1.50,15.093,11.168,0.009,123.830,1.001,g
2459563.56358,2021-12-15.0661879,br,1.42,15.118,11.180,0.008,122.473,0.837,g
2459563.56482,2021-12-15.0674370,br,1.38,15.042,11.212,0.009,119.004,0.969,g
2459565.56611,2021-12-17.0688556,br,1.56,99.990,99.990,99.990,99.990,99.990,g
2459569.53720,2021-12-21.0402166,br,1.53,15.280,11.146,0.007,126.335,0.819,g
2459569.53842,2021-12-21.0414432,br,1.51,15.311,11.155,0.007,125.330,0.746,g
2459569.53965,2021-12-21.0426675,br,1.50,15.351,11.183,0.007,122.152,0.737,g
2459571.54507,2021-12-23.0482171,br,1.44,15.280,11.118,0.007,129.653,0.768,g
2459571.54631,2021-12-23.0494552,br,1.46,15.282,11.173,0.007,123.197,0.769,g
2459571.54755,2021-12-23.0506960,br,1.50,15.213,11.184,0.007,122.051,0.824,g
2459573.54195,2021-12-25.0452209,br,1.39,99.990,99.990,99.990,99.990,99.990,g
2459573.54319,2021-12-25.0464626,br,1.49,99.990,99.990,99.990,99.990,99.990,g
2459573.54443,2021-12-25.0477046,br,1.63,99.990,99.990,99.990,99.990,99.990,g
2459574.53845,2021-12-26.0417785,br,1.43,15.160,11.194,0.008,120.901,0.817,g
2459574.53968,2021-12-26.0430085,br,1.39,15.152,11.245,0.008,115.381,0.855,g
2459574.54088,2021-12-26.0442222,br,1.45,15.184,11.182,0.007,122.255,0.783,g
2459646.00960,2022-03-07.5139197,br,1.51,15.141,11.132,0.008,128.026,0.933,g
2459646.01085,2022-03-07.5151711,br,1.54,15.150,11.172,0.008,123.383,0.899,g
2459649.15208,2022-03-10.6562826,bB,2.15,15.451,11.180,0.006,122.537,0.675,g
2459650.14856,2022-03-11.6527184,bB,2.09,15.608,11.180,0.006,122.412,0.704,g
2459650.14982,2022-03-11.6539825,bB,2.08,15.512,11.178,0.005,122.648,0.600,g
2459650.15109,2022-03-11.6552489,bB,2.10,15.565,11.181,0.006,122.309,0.638,g
2459653.13775,2022-03-14.6417806,bB,2.11,15.606,11.182,0.006,122.211,0.607,g
2459653.13902,2022-03-14.6430471,bB,2.12,15.624,11.173,0.006,123.238,0.655,g
2459653.14028,2022-03-14.6443065,bB,2.10,15.638,11.184,0.006,122.068,0.613,g
2459659.12738,2022-03-20.6311171,bB,2.12,15.505,11.183,0.006,122.113,0.655,g
2459659.12864,2022-03-20.6323694,bB,2.11,15.491,11.159,0.006,124.822,0.664,g
2459661.12168,2022-03-22.6253084,bB,2.14,14.561,11.176,0.013,122.842,1.400,g
