MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126109011088,16.656,0.078,335.99580,25.74035,53885.42897,0
1126109011088,16.628,0.077,335.99574,25.74045,53885.43711,0
1126109011088,16.638,0.077,335.99575,25.74045,53885.44523,0
1126109011088,16.618,0.077,335.99586,25.74041,53885.45344,0
1126109011088,16.336,0.070,335.99571,25.74053,54041.11668,0
1126109011088,16.443,0.072,335.99581,25.74035,54041.12255,0
1126109011088,16.360,0.070,335.99578,25.74046,54041.12845,0
1126109011088,16.382,0.071,335.99573,25.74046,54041.13433,0
1126109011088,17.062,0.075,335.99571,25.74041,54055.11558,0
1126109011088,16.960,0.074,335.99566,25.74045,54055.12759,0
1126109011088,16.987,0.074,335.99562,25.74050,54055.13953,0
1126109011088,17.024,0.075,335.99571,25.74036,54055.15146,0
1126109011088,16.657,0.074,335.99580,25.74042,54061.11597,0
1126109011088,16.670,0.074,335.99571,25.74043,54061.12135,0
1126109011088,16.604,0.073,335.99565,25.74057,54061.12675,0
1126109011088,16.664,0.074,335.99582,25.74039,54061.13214,0
1126109011088,16.666,0.074,335.99569,25.74048,54035.13626,0
1126109011088,16.627,0.073,335.99569,25.74044,54035.14336,0
1126109011088,16.487,0.071,335.99565,25.74050,54035.15052,0
1126109011088,16.444,0.071,335.99579,25.74040,54035.15762,0
1126109011088,16.791,0.077,335.99573,25.74046,53989.39354,0
1126109011088,16.775,0.077,335.99556,25.74047,53989.39940,0
1126109011088,16.734,0.077,335.99559,25.74043,53989.40526,0
1126109011088,16.819,0.079,335.99565,25.74044,53989.41110,0
1126109011088,16.727,0.075,335.99576,25.74042,53997.18251,0
1126109011088,16.537,0.074,335.99574,25.74045,53997.19241,0
1126109011088,16.625,0.074,335.99570,25.74052,53997.20239,0
1126109011088,16.623,0.073,335.99572,25.74049,53997.21233,0
1126109011088,16.499,0.093,335.99583,25.74037,54007.12116,0
1126109011088,16.408,0.087,335.99574,25.74047,54007.12263,0
1126109011088,16.521,0.089,335.99577,25.74052,54007.12410,0
1126109011088,16.567,0.090,335.99584,25.74044,54007.12555,0
1126109011088,16.210,0.069,335.99576,25.74043,54453.12767,0
1126109011088,16.193,0.068,335.99566,25.74047,54453.13419,0
1126109011088,16.187,0.068,335.99565,25.74054,54453.14069,0
1126109011088,16.270,0.070,335.99570,25.74041,54453.14718,0
