HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457333.70934,2015-11-07.2100241,bd,1.65,15.398,11.793,0.011,73.584,0.742,V
2457333.71059,2015-11-07.2112719,bd,1.70,15.395,11.789,0.011,73.839,0.739,V
2457441.15637,2016-02-22.6595292,bd,1.66,15.156,11.761,0.012,75.773,0.784,V
2457441.15762,2016-02-22.6607813,bd,1.66,15.209,11.752,0.011,76.360,0.765,V
2457441.15888,2016-02-22.6620351,bd,1.73,15.264,11.772,0.011,75.027,0.730,V
2457444.14959,2016-02-25.6526493,bd,1.67,15.228,11.769,0.010,75.240,0.725,V
2457444.15085,2016-02-25.6539057,bd,1.59,15.281,11.785,0.011,74.061,0.759,V
2457444.15210,2016-02-25.6551581,bd,1.63,15.265,11.779,0.011,74.504,0.732,V
2457448.13561,2016-02-29.6385240,bd,1.63,15.346,11.773,0.010,74.922,0.668,V
2457448.13686,2016-02-29.6397807,bd,1.52,15.384,11.772,0.010,75.015,0.663,V
2457448.13811,2016-02-29.6410327,bd,1.57,15.351,11.778,0.010,74.569,0.688,V
2457454.13723,2016-03-06.6399071,bd,1.56,15.366,11.778,0.010,74.585,0.692,V
2457454.13847,2016-03-06.6411452,bd,1.53,15.389,11.775,0.010,74.766,0.682,V
2457454.13974,2016-03-06.6424094,bd,1.60,15.416,11.785,0.010,74.099,0.674,V
2457459.12231,2016-03-11.6247642,bd,1.61,15.367,11.781,0.010,74.393,0.714,V
2457459.12356,2016-03-11.6260168,bd,1.71,15.420,11.765,0.011,75.518,0.704,V
2457459.12482,2016-03-11.6272712,bd,1.53,15.392,11.774,0.010,74.919,0.683,V
2457464.12746,2016-03-16.6296668,bd,1.60,15.382,11.784,0.012,74.174,0.801,V
2457464.12871,2016-03-16.6309171,bd,1.52,15.415,11.791,0.011,73.714,0.725,V
2457464.12996,2016-03-16.6321733,bd,1.47,15.393,11.779,0.011,74.488,0.765,V
2457467.10920,2016-03-19.6112628,bd,1.47,15.183,11.787,0.013,73.977,0.870,V
2457467.11011,2016-03-19.6121679,bd,1.52,15.196,11.787,0.012,73.957,0.825,V
2457467.11101,2016-03-19.6130739,bd,1.64,15.159,11.768,0.012,75.263,0.829,V
2457470.09132,2016-03-22.5932196,bd,1.61,15.010,11.761,0.013,75.754,0.869,V
2457470.09257,2016-03-22.5944751,bd,1.66,15.126,11.755,0.012,76.201,0.838,V
2457470.09384,2016-03-22.5957398,bd,1.57,15.060,11.769,0.013,75.243,0.838,V
2457472.10330,2016-03-24.6050869,bd,1.60,15.255,11.764,0.011,75.531,0.722,V
2457472.10456,2016-03-24.6063527,bd,1.69,15.232,11.754,0.011,76.212,0.744,V
2457472.10580,2016-03-24.6075934,bd,1.78,15.315,11.793,0.012,73.578,0.770,V
2457479.12014,2016-03-31.6215337,bd,1.47,15.376,11.786,0.011,74.050,0.741,V
2457479.12138,2016-03-31.6227766,bd,1.68,15.380,11.776,0.010,74.757,0.669,V
2457479.12263,2016-03-31.6240298,bd,1.61,15.386,11.786,0.011,74.016,0.760,V
2457483.10653,2016-04-04.6076971,bd,2.03,15.358,11.786,0.010,74.028,0.705,V
2457483.10779,2016-04-04.6089511,bd,1.94,15.331,11.782,0.011,74.304,0.745,V
2457483.10904,2016-04-04.6102050,bd,2.04,15.320,11.771,0.010,75.032,0.704,V
2457489.03987,2016-04-10.5406761,bd,1.61,15.366,11.783,0.011,74.277,0.727,V
2457489.04113,2016-04-10.5419321,bd,1.54,15.351,11.792,0.012,73.605,0.814,V
2457489.04237,2016-04-10.5431728,bd,1.54,15.369,11.797,0.011,73.326,0.774,V
2457491.06365,2016-04-12.5643339,bd,1.66,15.290,11.772,0.011,74.987,0.728,V
2457491.06491,2016-04-12.5655836,bd,1.65,15.363,11.769,0.010,75.169,0.718,V
2457491.06616,2016-04-12.5668375,bd,1.57,15.373,11.772,0.010,74.993,0.686,V
2457499.01709,2016-04-20.5172763,bd,1.52,15.163,11.762,0.012,75.706,0.802,V
2457499.01835,2016-04-20.5185321,bd,1.67,15.259,11.772,0.011,75.014,0.767,V
2457499.01961,2016-04-20.5197975,bd,1.59,15.290,11.777,0.011,74.671,0.754,V
2457504.06666,2016-04-25.5665221,bd,1.52,15.327,11.787,0.011,74.032,0.740,V
2457504.06790,2016-04-25.5677701,bd,1.62,15.358,11.789,0.011,73.885,0.731,V
2457504.06922,2016-04-25.5690795,bd,1.55,15.305,11.774,0.011,74.859,0.804,V
2457509.06219,2016-04-30.5617444,bd,1.65,15.477,11.917,0.011,65.674,0.657,V
2457509.06345,2016-04-30.5629994,bd,1.64,15.434,11.902,0.010,66.562,0.655,V
2457509.06470,2016-04-30.5642539,bd,1.57,15.400,11.913,0.011,65.864,0.666,V
2457512.02942,2016-05-03.5287836,bd,1.54,15.385,11.788,0.011,73.939,0.738,V
2457512.03067,2016-05-03.5300440,bd,1.62,15.422,11.784,0.010,74.191,0.655,V
2457512.03193,2016-05-03.5312973,bd,1.63,15.354,11.781,0.010,74.378,0.709,V
2457522.01459,2016-05-13.5133502,bd,1.52,15.393,11.795,0.010,73.435,0.681,V
2457522.01585,2016-05-13.5146130,bd,1.50,15.387,11.777,0.010,74.677,0.703,V
2457522.01711,2016-05-13.5158751,bd,1.49,15.373,11.774,0.010,74.848,0.702,V
2457527.94115,2016-05-19.4395680,bd,1.69,15.250,11.796,0.011,73.424,0.749,V
2457527.94241,2016-05-19.4408229,bd,1.51,15.319,11.791,0.010,73.725,0.730,V
2457527.94366,2016-05-19.4420832,bd,1.56,15.329,11.790,0.010,73.776,0.724,V
2457532.95871,2016-05-24.4568523,bd,1.56,15.392,11.995,0.013,61.050,0.701,V
2457532.95997,2016-05-24.4581041,bd,1.60,15.335,11.974,0.012,62.259,0.659,V
2457532.96122,2016-05-24.4593598,bd,1.57,15.338,11.988,0.012,61.474,0.661,V
