###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57427.439023  14.794  0.007  4388   30 c  0  40.89 103.65382  17.86447  2690.04  5159.61 3.95 3.61 -45.8 -0.415 19.52 21.43 02a57427o0394c
57432.369959  14.806  0.007  4340   32 c  0  27.57 103.65382  17.86447  1894.92  6266.70 4.04 3.61 -48.9 -0.447 19.28 20.94 02a57432o0295c
57432.389151  14.830  0.008  4246   33 c  0  28.78 103.65382  17.86447  1636.15  5695.25 4.20 3.63 -47.3 -0.433 19.28 20.98 02a57432o0324c
57432.412443  14.823  0.007  4273   30 c  0  28.75 103.65382  17.86447  2839.37  5119.29 3.99 3.61 -40.1 -0.417 19.44 21.29 02a57432o0359c
57432.438417  14.792  0.007  4396   30 c  0  35.32 103.65382  17.86447  2681.67  5152.37 4.00 3.58 -43.0 -0.419 19.46 21.37 02a57432o0400c
57433.343533  14.806  0.008  4341   34 c  0  26.04 103.65382  17.86447  1593.76  5987.21 4.25 3.71 -51.5 -0.459 19.02 20.50 02a57433o0250c
57433.370018  14.816  0.008  4300   36 c  0  26.01 103.65382  17.86447  1347.23  5420.95 4.32 3.73 -46.4 -0.447 19.01 20.50 02a57433o0292c
57433.389214  14.843  0.008  4197   34 c  0  44.07 103.65382  17.86447  2548.47  4838.20 4.25 3.79 -42.6 -0.426 19.00 20.50 02a57433o0323c
57433.414703  14.814  0.008  4309   34 c  0  35.36 103.65382  17.86447  2644.33  5142.20 4.19 3.70 -43.6 -0.431 19.02 20.53 02a57433o0364c
57442.339411  14.815  0.012  4306   50 o  0   8.57 103.65382  17.86447  1583.43  6357.80 4.04 3.45 -56.2 -0.492 18.52 19.54 02a57442o0224o
57442.356986  14.807  0.012  4339   50 o  0  11.15 103.65382  17.86447  1285.72  5780.81 4.22 3.51 -48.5 -0.484 18.47 19.49 02a57442o0252o
57442.378047  14.835  0.012  4227   49 o  0  13.76 103.65382  17.86447  2457.00  5195.99 4.10 3.57 -37.8 -0.467 18.39 19.40 02a57442o0284o
57442.395655  14.861  0.012  4125   49 o  0  14.31 103.65382  17.86447  2623.17  5234.92 4.13 3.62 -27.9 -0.451 18.34 19.33 02a57442o0314o
57443.322534  14.750  0.010  4570   45 o  0  16.86 103.65382  17.86447  1627.60  6607.80 4.11 3.40 -63.1 -0.501 18.75 20.03 02a57443o0244o
57443.345615  14.726  0.009  4671   44 o  0  16.89 103.65382  17.86447  1346.52  6031.67 4.10 3.35 -56.2 -0.520 18.73 19.91 02a57443o0285o
57443.360967  14.730  0.010  4656   44 o  0  12.54 103.65382  17.86447  2514.08  5444.39 3.77 3.29 -53.3 -0.521 18.72 19.89 02a57443o0312o
57443.385537  14.735  0.010  4634   46 o  0  11.52 103.65382  17.86447  2625.02  5233.14 3.84 3.33 -48.9 -0.516 18.66 19.82 02a57443o0354o
57450.337582  14.795  0.007  4387   31 c  0  28.65 103.65382  17.86447  1884.63  6329.87 4.22 3.68 -57.0 -0.452 19.52 21.53 02a57450o0270c
57450.355029  14.793  0.007  4395   29 c  0  37.02 103.65382  17.86447  1589.41  5752.75 4.09 3.58 -52.1 -0.453 19.56 21.53 02a57450o0304c
57450.373364  14.805  0.007  4345   29 c  0  34.46 103.65382  17.86447  2761.37  5168.42 3.84 3.48 -45.7 -0.438 19.57 21.49 02a57450o0339c
57450.391150  14.786  0.006  4420   28 c  0  37.44 103.65382  17.86447  2615.72  5231.87 3.81 3.49 -45.6 -0.431 19.54 21.43 02a57450o0367c
57451.328760  14.790  0.007  4407   32 c  0  25.14 103.65382  17.86447  1662.44  6446.72 4.10 3.57 -56.7 -0.478 19.51 21.45 02a57451o0257c
