###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57433.293236  14.643  0.008  5043   41 c  0   2.54  72.34071  34.06658  7235.38  8289.90 4.04 3.60  86.2 -0.467 18.87 20.17 02a57433o0172c
57433.311755  14.632  0.008  5096   41 c  0   2.66  72.34071  34.06658  6981.37  7714.77 4.15 3.67  85.1 -0.452 18.83 20.17 02a57433o0201c
57433.335637  14.630  0.008  5106   39 c  0   3.25  72.34071  34.06658  8176.96  7170.43 4.14 3.47  82.6 -0.461 18.82 20.10 02a57433o0238c
57433.351098  14.646  0.009  5030   45 c  0   2.32  72.34071  34.06658  8251.68  7477.23 4.11 3.44  83.9 -0.451 18.81 20.06 02a57433o0262c
57442.294070  13.936  0.006  9674   59 o  0   7.63  72.34071  34.06658  7202.34  8690.32 3.73 3.14  88.0 -0.502 18.48 19.49 02a57442o0146o
57442.310955  13.928  0.006  9747   59 o  0   6.51  72.34071  34.06658  6910.07  8102.52 3.74 3.10  87.8 -0.488 18.43 19.42 02a57442o0175o
57442.327313  13.946  0.006  9585   60 o  0   6.25  72.34071  34.06658  8069.17  7546.92 3.88 3.03  85.8 -0.500 18.42 19.40 02a57442o0204o
57442.343993  13.931  0.007  9719   63 o  0   5.21  72.34071  34.06658  8224.63  7592.16 3.83 2.96  85.4 -0.507 18.40 19.33 02a57442o0231o
57443.283632  13.958  0.005  9480   50 o  0  13.43  72.34071  34.06658  7253.40  8921.89 3.70 3.05  86.3 -0.490 18.80 20.06 02a57443o0176o
57443.296237  13.934  0.005  9693   51 o  0  21.87  72.34071  34.06658  6959.10  8335.59 3.64 2.91  87.6 -0.496 18.73 19.93 02a57443o0199o
57443.316698  13.946  0.005  9587   52 o  0  15.21  72.34071  34.06658  8121.12  7775.82 3.83 2.92  85.8 -0.484 18.64 19.79 02a57443o0234o
57443.333657  13.955  0.006  9503   56 o  0  10.92  72.34071  34.06658  8233.86  7588.53 3.90 2.89  86.3 -0.506 18.56 19.65 02a57443o0264o
57450.284719  14.618  0.006  5160   32 c  0   7.87  72.34071  34.06658  7504.69  8670.54 4.28 3.65  89.7 -0.457 19.33 21.16 02a57450o0167c
57450.301848  14.615  0.006  5177   33 c  0   6.22  72.34071  34.06658  7215.62  8084.47 4.09 3.49  89.8 -0.455 19.36 21.17 02a57450o0201c
