HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459760.55598,2022-06-30.0543658,bF,2.06,15.933,12.525,0.011,35.501,0.381,g
2459760.55729,2022-06-30.0556700,bF,2.03,15.954,12.513,0.011,35.885,0.365,g
2459760.58263,2022-06-30.0810140,bE,2.15,15.809,12.527,0.013,35.406,0.416,g
2459760.58393,2022-06-30.0823078,bE,2.20,15.795,12.504,0.013,36.171,0.403,g
2459760.58523,2022-06-30.0836093,bE,2.19,15.740,12.490,0.013,36.663,0.440,g
2459761.60042,2022-07-01.0988576,bE,1.96,15.928,12.690,0.013,30.472,0.372,g
2459761.60174,2022-07-01.1001732,bE,1.98,16.004,12.686,0.012,30.587,0.341,g
2459761.60303,2022-07-01.1014630,bE,1.95,15.845,12.669,0.013,31.080,0.371,g
2459762.38142,2022-07-01.8798857,bn,1.50,99.990,99.990,99.990,99.990,99.990,g
2459762.48613,2022-07-01.9846085,bF,2.07,15.968,12.510,0.012,35.997,0.385,g
2459762.48743,2022-07-01.9859048,bF,2.06,15.926,12.515,0.012,35.816,0.404,g
2459762.48872,2022-07-01.9872012,bF,2.12,15.905,12.473,0.011,37.235,0.396,g
2459763.47399,2022-07-02.9725087,bi,2.13,15.879,12.520,0.012,35.647,0.381,g
2459763.47523,2022-07-02.9737527,bi,2.13,15.863,12.497,0.012,36.422,0.389,g
2459763.47648,2022-07-02.9750060,bi,2.15,15.876,12.500,0.012,36.321,0.394,g
2459763.49683,2022-07-02.9953490,bi,2.42,15.846,12.502,0.013,36.260,0.425,g
2459763.49808,2022-07-02.9966050,bi,2.11,15.841,12.522,0.012,35.570,0.383,g
2459763.49933,2022-07-02.9978565,bi,2.06,15.895,12.526,0.012,35.438,0.384,g
2459763.62162,2022-07-03.1201535,bj,2.06,15.861,12.521,0.011,35.599,0.369,g
2459763.62286,2022-07-03.1213950,bj,2.07,15.821,12.529,0.012,35.369,0.373,g
2459763.62411,2022-07-03.1226450,bj,2.06,15.870,12.529,0.011,35.342,0.364,g
2459764.58760,2022-07-04.0861777,bi,1.91,15.994,12.508,0.011,36.030,0.350,g
2459764.58885,2022-07-04.0874265,bi,1.91,15.854,12.515,0.012,35.801,0.388,g
2459764.62812,2022-07-04.1266952,bj,2.34,15.357,12.515,0.017,35.805,0.553,g
2459765.53917,2022-07-05.0378005,bi,1.90,15.835,12.519,0.012,35.685,0.397,g
2459765.54044,2022-07-05.0390715,bi,1.91,15.903,12.526,0.012,35.444,0.386,g
2459765.54168,2022-07-05.0403168,bi,1.45,15.870,12.512,0.012,35.892,0.379,g
2459765.54293,2022-07-05.0415589,bi,1.43,15.895,12.521,0.012,35.622,0.380,g
2459765.54419,2022-07-05.0428172,bi,1.90,15.819,12.510,0.012,35.964,0.401,g
2459765.54543,2022-07-05.0440638,bi,1.92,15.862,12.520,0.012,35.651,0.382,g
2459765.55574,2022-07-05.0543694,bF,1.95,15.654,12.505,0.013,36.159,0.437,g
